rank,team,full_strength_rating,performance_points,roster_coaching_points,availability_adjustment,current_lineup_rating,headline_view,headline_rating,as_of,validation_status,status_reason
17,KC,0.289253,40.003679,-39.714426,0.000000,0.289253,full_strength,0.289253,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
18,ATL,-0.263405,40.016895,-40.280300,0.000000,-0.263405,full_strength,-0.263405,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
19,CIN,-0.319750,40.513301,-40.833051,0.000000,-0.319750,full_strength,-0.319750,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
20,NYG,-1.475860,39.409296,-40.885156,0.000000,-1.475860,full_strength,-1.475860,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
21,TB,-1.596533,39.825922,-41.422455,0.000000,-1.596533,full_strength,-1.596533,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
22,IND,-1.918608,41.160124,-43.078732,0.000000,-1.918608,full_strength,-1.918608,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
23,NO,-2.338508,38.852038,-41.190546,0.000000,-2.338508,full_strength,-2.338508,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
24,CAR,-2.486377,38.236764,-40.723141,0.000000,-2.486377,full_strength,-2.486377,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
25,DAL,-3.151948,38.884557,-42.036505,0.000000,-3.151948,full_strength,-3.151948,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
26,WAS,-3.495685,37.971448,-41.467133,0.000000,-3.495685,full_strength,-3.495685,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
27,MIA,-4.615146,36.911409,-41.526555,0.000000,-4.615146,full_strength,-4.615146,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
28,CLE,-6.009136,34.780534,-40.789670,0.000000,-6.009136,full_strength,-6.009136,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
29,ARI,-6.116381,35.363932,-41.480313,0.000000,-6.116381,full_strength,-6.116381,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
30,TEN,-8.915274,32.919635,-41.834909,0.000000,-8.915274,full_strength,-8.915274,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
31,LV,-9.040821,31.549214,-40.590035,0.000000,-9.040821,full_strength,-9.040821,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
32,NYJ,-11.849295,30.483768,-42.333063,0.000000,-11.849295,full_strength,-11.849295,2026-07-21T12:00:00-04:00,EXPERIMENTAL,Historical HOLD: aggregate_improvement_ci_positive
