team,conf,division,qb_name,qb_value,off_value,def_value,hc_name,coaching_value,oc_name,dc_name,scheme_value,your_edge,needs_review,notes,age,exp
Jacksonville Jaguars,AFC,South,Trevor Lawrence,3.0,0.0,0.0,,0.0,,,0.0,0.0,N,"BTJ/Thomas Jr; D lost Lloyd, +Orhorhoro",27,5
Tennessee Titans,AFC,South,Cam Ward,0.0,-0.5,0.0,,0.0,,,0.0,0.0,N,+Wan'Dale; D huge volume +J.Johnson/JFM (quantity),24,1
Denver Broncos,AFC,West,Bo Nix,0.0,0.5,1.7,,0.0,,,0.0,0.0,N,"QB -0.5->0.0 (ascending Nix, Payton system); Off 0.0->0.5 (+Waddle, Sutton, top-5 OL — above avg); D elite Surtain/Bonitto/Zach Allen/Hufanga; Def 2.0->1.7: EDGE Jonathon Cooper on Commissioner's Exempt List (indefinite, legal — not injury) thins the rush, caps the extreme",27,2
Kansas City Chiefs,AFC,West,Patrick Mahomes,3.5,0.0,-0.5,,0.0,,,0.0,0.0,N,"Mahomes 4.5->3.5: first game back from torn ACL+LCL (Wk15 2025), no preseason — Wk1 return/rust haircut; restore toward 4.5 once he's up to speed. Off held 0.0: good with Ken Walker III + Rashee Rice (+Worthy) starting; rookie LT Josh Simmons (back) likely out Wk1. D +Sneed/Elam. Injury tag kept (KC 2025 deflated by Mahomes ACL)",31,9
Las Vegas Raiders,AFC,West,Kirk Cousins,-2.5,-1.0,-1.0,,0.0,,,0.0,0.0,N,"Off -0.5->-1.0: Bowers OUT Wk1 (meniscus trim Sep 8; back ~1-2 wks) + Mayer concussion = TE room gutted, PS elevation only; hit may be larger than -0.5. C Linderbaum add. D Crosby +Paye/Q.Walker/Dean",38,14
Los Angeles Chargers,AFC,West,Justin Herbert,4.0,0.3,0.5,,0.0,,,0.0,0.0,N,"McConkey +Njoku; Off 0.5->0.3: lost starting C Tyler Biadasz for the season (knee/IR) + LT Rashawn Slater working through a knee (Q, likely plays); Tre Harris healthy; interior OL compromised in front of Herbert; D Mack +Tomlinson",28,6
Dallas Cowboys,NFC,East,Dak Prescott,1.5,1.0,-0.5,,0.0,,,0.0,0.0,N,"CeeDee Lamb + George Pickens (elite WR duo) +MVS; Off 0.5->1.0 (elite WR duo), tempered by All-Pro LG Tyler Smith IR (torn thumb, ~4-6 wks); Def 0.0->-0.5: lost Parsons (top-3 edge, to GB) — Kenny Clark/Gary don't replace it",33,10
New York Giants,NFC,East,Jaxson Dart,-1.0,-0.5,0.5,,0.0,,,0.0,0.0,N,Nabers +aging WRs (OBJ/Mooney/JuJu); D +Edmunds/Burns,23,1
Philadelphia Eagles,NFC,East,Jalen Hurts,2.0,0.5,0.5,,0.0,,,0.0,0.0,N,"Off 0.0->0.5: lost A.J. Brown but still a solid group — Saquon Barkley (elite RB) + DeVonta Smith + Goedert + good OL; D +Greenard/Epenesa, lost edges (Graham/Ojulari/Phillips)",28,6
Washington Commanders,NFC,East,Jayden Daniels,2.0,-1.0,-1.0,,0.0,,,0.0,0.0,N,McLaurin +White; −1.0 O: Laremy Tunsil IR — huge blow to the OL/blindside; D +Chaisson/Omenihu/Oweh,26,2
Chicago Bears,NFC,North,Caleb Williams,3.0,0.0,-0.5,,0.0,,,0.0,0.0,N,"Lost DJ Moore (to BUF); Odunze/Burden; OL +Wills/Bradbury; −0.5 O: WR/RB group banged up (Odunze/Burden/Swift/Monangai Q) — uncertain who's healthy, lowering on concern",25,2
Detroit Lions,NFC,North,Jared Goff,2.0,1.0,-1.0,,0.0,,,0.0,0.0,N,"Gibbs/St.Brown/Williams elite +Pacheco(IR); D Hutchinson, lost Reader/Anzalone; Def 0.0->-1.0: BOTH All-Pro safeties out 4+ games (Branch ruptured Achilles/PUP; Kerby Joseph knee, may be season/IR) — Hutchinson keeps it off the floor",32,10
Green Bay Packers,NFC,North,Jordan Love,1.0,0.5,-0.5,,0.0,,,0.0,0.0,N,"Jacobs (won exempt-list appeal, plays Wk1; conduct case pending); lost Doubs/Wicks; D +Hargrave/Franklin, lost Gary; +Parsons but on PUP/torn ACL, out first ~4 games (upside ~Wk5)",28,6
Minnesota Vikings,NFC,North,Kyler Murray,-0.5,1.0,0.5,,0.0,,,0.0,0.0,N,Jefferson/Addison +Jennings; D lost Greenard/Allen/Hargrave,29,7
Atlanta Falcons,NFC,South,Tua Tagovailoa,-2.5,1.0,-0.5,,0.0,,,0.0,0.0,N,"QB: Penix out — Tua starting, rated -2.5 (-0.5 below Penix's -2.0), startable vet; restore Penix when healthy. Bijan/London +B.Robinson; Def 0.0->-0.5: edge gutted thru Wk8 (Jalon Walker season ACL/IR + James Pearce Jr 8-game suspension), aging Ebukam/Ojulari left; Bates/Terrell secondary carries it",28,6
Carolina Panthers,NFC,South,Bryce Young,0.5,-1.0,0.0,,0.0,,,0.0,0.0,N,"McMillan +Dillon; −1.0 O: both starting OTs (Ekwonu + Moton) out — major OL blow in front of Young; should recover as they return, considering −1.2; D +Jaelan Phillips/Devin Lloyd",25,3
New Orleans Saints,NFC,South,Tyler Shough,-1.0,0.0,-0.3,,0.0,,,0.0,0.0,N,"Olave/Kamara (Grade-2 MCL, Q) +Etienne; rookie WR Tyson out ~2mo; Off 0.2->0.0 (honest read, rookie QB); Def 0.0->-0.3: IR pileup (DT Bresee, LB Ford season, CB Long) on an already-thin unit (lost Davis); Chase Young/Cam Jordan edge the bright spot",27,1
Tampa Bay Buccaneers,NFC,South,Baker Mayfield,2.0,1.0,-0.5,,0.0,,,0.0,0.0,N,"Godwin/Egbuka, lost Mike Evans (to SF); D lost Reddick/David",31,8
Arizona Cardinals,NFC,West,Jacoby Brissett,-1.5,-1.0,-1.0,,0.0,,,0.0,0.0,N,Harrison Jr +Allgeier/Bourne; D +Billings/Lopez,34,10
Los Angeles Rams,NFC,West,Matthew Stafford,5.5,0.9,1.2,,0.0,,,0.0,0.0,N,"Nacua/Kyren (Off +1.5 fully healthy — keep in mind); Off held 0.9: Nacua psoas (Aug strain, exp Wk1) + LT Alaric Jackson Q (camp ankle + blood-clot mgmt, suspension risk); D big +Myles Garrett/McDuffie/Watson +Aaron Donald (back, rusty, ~2yr retired); Def→1.2 (healthy ceiling ~1.5, discounted for Garrett left-knee swelling [good-to-go Wk1]/Donald rust/Kobie Turner Q)",38,17
San Francisco 49ers,NFC,West,Brock Purdy,2.5,0.2,0.5,,0.0,,,0.0,0.0,N,"Off skill cluster: Pearsall IR, McCaffrey banged up, Kittle Achilles (PUP, proj Wk1); +0.5 back if Kittle healthy Wk1; +Evans/Kirk; D +Odighizuwa/Greenlaw",27,4
Seattle Seahawks,NFC,West,Sam Darnold,2.0,1.5,2.0,,0.0,,,0.0,0.0,N,"Darnold avg QB, situation lifts him; JSN+Kupp+Shaheed elite WRs; Off 2.0→1.5: RB room thin — lost Walker + Charbonnet ACL/PUP (out 4+ games), leaning on rookie Jadarian Price (should be good, Wk1-uncertain); D held 2.0 but healthy ceiling 2.5 (truly elite: Witherspoon/J.Love/B.Murphy/E.Jones/Nwosu +Fowler), discounted now for safety injuries (Okada out, Emmanwori ankle Q, Clark IR)",29,8
